time,swellHeight,swellPeriod,swellDirection,secondarySwellPeriod,secondarySwellDirection,windWaveHeight,windWavePeriod,windDirection,windSpeed,tideHeight
2023-11-17T00:00:00+00:00,1.9,9.21,194.18,14.83,233.44,0.83,3.56,162.09,13.32,0.76
2023-11-17T01:00:00+00:00,1.81,9.78,194.23,13.99,232.87,0.8,3.49,162.31,12.312,0.82
2023-11-17T02:00:00+00:00,1.73,10.34,194.29,13.14,232.29,0.77,3.43,162.52,11.268,0.8
2023-11-17T03:00:00+00:00,1.64,10.91,194.34,12.3,231.72,0.74,3.36,162.74,10.26,0.73
2023-11-17T04:00:00+00:00,1.58,10.91,193.82,12.2,254.17,0.68,3.22,165.05,10.224,0.61
2023-11-17T05:00:00+00:00,1.53,10.92,193.31,12.11,276.63,0.61,3.09,167.36,10.224,0.48
2023-11-17T06:00:00+00:00,1.47,10.92,192.79,12.01,299.08,0.55,2.95,169.67,10.188,0.37
2023-11-17T07:00:00+00:00,1.47,11.05,192.77,10.68,264.42,0.53,2.9,174.78,8.604000000000001,0.3
2023-11-17T08:00:00+00:00,1.46,11.17,192.75,9.36,229.76,0.51,2.85,179.89,6.984,0.27
2023-11-17T09:00:00+00:00,1.46,11.3,192.73,8.03,195.1,0.49,2.8,185.0,5.4,0.28
2023-11-17T10:00:00+00:00,1.52,11.46,193.55,9.87,195.37,0.45,2.69,187.22,4.788,0.32
2023-11-17T11:00:00+00:00,1.58,11.62,194.38,11.71,195.63,0.41,2.57,189.43,4.176,0.37
2023-11-17T12:00:00+00:00,1.64,11.78,195.2,13.55,195.9,0.37,2.46,191.65,3.564,0.39
2023-11-17T13:00:00+00:00,1.65,11.75,195.16,13.67,201.24,0.46,2.69,200.42,5.472,0.38
2023-11-17T14:00:00+00:00,1.65,11.72,195.13,13.8,206.58,0.55,2.92,209.19,7.38,0.34
2023-11-17T15:00:00+00:00,1.66,11.69,195.09,13.92,211.92,0.64,3.15,217.96,9.288,0.26
2023-11-17T16:00:00+00:00,1.66,11.65,195.04,13.29,236.79,0.63,3.13,212.72,10.008,0.16
2023-11-17T17:00:00+00:00,1.67,11.62,195.0,12.67,261.65,0.62,3.1,207.47,10.764000000000001,0.08
2023-11-17T18:00:00+00:00,1.67,11.58,194.95,12.04,286.52,0.61,3.08,202.23,11.484,0.02
2023-11-17T19:00:00+00:00,1.67,11.55,194.89,11.93,290.68,0.54,2.88,193.08,12.312,0.02
2023-11-17T20:00:00+00:00,1.66,11.52,194.82,11.83,294.84,0.46,2.69,183.92,13.176,0.09
2023-11-17T21:00:00+00:00,1.66,11.49,194.76,11.72,299.0,0.39,2.49,174.77,14.004000000000001,0.2
2023-11-17T22:00:00+00:00,1.67,11.37,194.64,11.71,299.07,0.4,2.54,171.24,12.78,0.36
2023-11-17T23:00:00+00:00,1.69,11.24,194.52,11.69,299.14,0.42,2.58,167.71,11.592,0.52
